topic,keywords
UVM / Methodology,"uvm |universal verification methodology|ovm|vmm|testbench|test bench|verification methodology|verification components|uvm ral|register abstraction|sequence layering|uvm factory"
Formal Verification,"formal verif|formal analysis|formal property|model checking|bounded model|symbiyosys|formal apps|formal signoff|formal proof|formal assertion|jaspergold|vc formal|formal-based"
CDC / RDC,"clock domain crossing| cdc |cdc/rdc|rdc |reset domain|metastab|synchronizer|async clock|cdc closure|cdc check"
Low-Power / UPF,"low power|low-power|upf | power |power intent|power domain|isolation cell|level shifter|retention|power aware|power gating|multi-vt|pmu |mvf |cpf "
Emulation / Prototyping,"emulation|emulator|prototyping|fpga prototyping|protoscp|veloce|palladium|hbm|hardware asseler|hw/sw co|protocomp|hardware acceleration"
AMS / Mixed-Signal,"mixed signal|mixed-signal|analog|verilog-ams|verilog ams|real number model|rnm |spice|ams sim|sv-dc|amsd"
AI / ML for Verification,"machine learning| ml |deep learning| neural |llm |large language|gpt|transformer|generative ai| ai-driven|ai/ml|reinforcement|graph neural|chatgpt|llm-based"
Coverage,"coverage|coverage driven|functional coverage|code coverage|covergroup|cover property|coverage closure|coverage model"
SystemVerilog / Language,"systemverilog|system verilog| sv |systol|hdl |vhdl|verilog|systemc|assertion|sva |psl |property check"
Assertion / SVA,"assertion|sva |immediate assertion|concurrent assertion|cover property|assume property|assert property"
Security / Trust,"security|trust |trojan|side channel|fault injection|fault attack|secure boot|crypto|cryptography|fips|iso 21434|security verif"
RISC-V / Processor,"risc-v|riscv|processor verif|cpu core|isa |instruction set|core complex|cache coherency|out-of-order"
SoC / IP Integration,"soc |system-on-chip|system on chip|ip integration|ip-xact|xvip|vip |verification ip| die |multi-die|chiplet|heterogeneous integration"
Power-Aware Verification,"power aware|power verif|power state|upf based|low power verif|iso 21434|async reset|reset domain|retention cell"
Methodology / Flow,"verification methodology|best practice|best-practice|metric-driven|kpi |verification flow|dv flow|signoff strategy|methodology paper"
Simulation / Performance,"simulator performance|simulation throughput|simulation performance|regression acceleration|sim farm|compute farm|parallel sim|co-sim|simulation farm|farming the regress|throughput optimization|cloud simulation"
